"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.05304116384119e-83,3.83930397711739,0.275,0.028,8.3011406520918e-79,"1","CD33"
4.99549319799477e-81,1.20762740776442,0.922,0.703,6.85081937173003e-77,"1","ARPC1B"
1.20697623272739e-80,3.65190263573166,0.3,0.038,1.65524720556234e-76,"1","RAB32"
1.87591247636698e-79,2.11697748752399,0.538,0.161,2.57262637008967e-75,"1","CAPG"
3.97589612603003e-78,4.21880156951088,0.275,0.031,5.45254394723758e-74,"1","IL8"
4.47857903953787e-78,0.575619755600624,1,0.992,6.14192329482223e-74,"1","TMSB10"
6.7804402458743e-78,1.59793943436097,0.725,0.308,9.29869575319202e-74,"1","C1orf162"
2.49082678194111e-77,1.98044080711122,0.598,0.206,3.41591984875404e-73,"1","RGS2"
2.49568914043042e-77,1.59540158611782,0.752,0.364,3.42258808718628e-73,"1","ANXA2"
5.31371117073755e-77,3.01531384855263,0.361,0.067,7.28722349954948e-73,"1","PLAUR"
9.25218727189146e-77,1.16882108397329,0.875,0.535,1.26884496246719e-72,"1","SRGN"
3.35427058254535e-76,2.84361747271987,0.386,0.076,4.60004667690269e-72,"1","STX11"
1.19396938242159e-75,2.59740089419404,0.415,0.093,1.63740961105297e-71,"1","AGTRAP"
1.86117473321322e-74,2.1245672486332,0.48,0.125,2.55241502912861e-70,"1","LY86"
1.44023993446081e-73,1.56714483662415,0.657,0.249,1.97514504611956e-69,"1","CEBPB"
4.1495331694496e-73,2.09617951841766,0.647,0.267,5.69066978858318e-69,"1","ATP6V0B"
3.13153543377658e-71,1.13706198831168,0.91,0.772,4.2945876938812e-67,"1","VIM"
3.3023587962816e-71,2.87635577093135,0.351,0.068,4.52885485322059e-67,"1","KLF4"
